"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Elkhart-Goshen, IN","56,966","58,844","58,662",192,3.3,-0.3,383
"Elmira, NY","51,914","52,228","53,850",267,0.6,3.1,363
"El Paso, TX","44,213","44,062","46,732",365,-0.3,6.1,84
"Enid, OK","48,039","49,362","51,152",314,2.8,3.6,339
"Erie, PA","52,723","51,554","54,694",256,-2.2,6.1,78
"Eugene-Springfield, OR","56,148","57,885","61,634",148,3.1,6.5,47
"Evansville, IN-KY","57,317","58,863","61,605",151,2.7,4.7,257
"Fairbanks, AK","65,085","67,899","69,775",71,4.3,2.8,370
"Fargo, ND-MN","63,126","65,666","68,326",84,4.0,4.1,309
"Farmington, NM","42,947","44,161","46,055",371,2.8,4.3,293
"Fayetteville, NC","45,121","45,803","47,602",358,1.5,3.9,317
"Fayetteville-Springdale-Rogers, AR","77,159","85,237","89,095",16,10.5,4.5,274
"Flagstaff, AZ","58,092","58,396","62,002",145,0.5,6.2,70
"Flint, MI","48,331","48,700","52,520",291,0.8,7.8,3
"Florence, SC","50,193","50,975","53,326",280,1.6,4.6,263
"Florence-Muscle Shoals, AL","44,559","44,899","47,156",362,0.8,5.0,220
"Fond du Lac, WI","56,767","58,178","60,018",175,2.5,3.2,358
"Fort Collins, CO","64,885","67,788","71,359",60,4.5,5.3,181
"Fort Smith, AR-OK","45,348","45,780","47,206",360,1.0,3.1,362
"Fort Wayne, IN","56,034","58,206","60,361",165,3.9,3.7,331
"Fresno, CA","51,977","50,440","52,728",287,-3.0,4.5,273
"Gadsden, AL","42,777","43,196","45,062",373,1.0,4.3,290
"Gainesville, FL","50,186","50,847","54,166",262,1.3,6.5,45
"Gainesville, GA","55,114","57,126","60,036",173,3.7,5.1,210
"Gettysburg, PA","55,416","56,506","58,880",189,2.0,4.2,302
"Glens Falls, NY","55,002","55,799","59,040",187,1.4,5.8,106
"Goldsboro, NC","49,199","49,441","50,748",320,0.5,2.6,372
"Grand Forks, ND-MN","58,992","61,337","62,364",138,4.0,1.7,377
"Grand Island, NE","54,217","56,736","60,508",161,4.6,6.6,37
"Grand Junction, CO","52,891","55,220","57,653",208,4.4,4.4,285
"Grand Rapids-Kentwood, MI","61,100","62,288","65,239",107,1.9,4.7,254
"Grants Pass, OR","52,513","51,561","55,038",251,-1.8,6.7,31
"Great Falls, MT","54,912","57,157","60,126",171,4.1,5.2,192
"Greeley, CO","56,330","59,270","62,532",135,5.2,5.5,148
"Green Bay, WI","59,613","60,880","63,575",125,2.1,4.4,283
"Greensboro-High Point, NC","51,874","53,734","56,030",240,3.6,4.3,297
"Greenville, NC","52,984","54,090","56,956",221,2.1,5.3,172
